Sample	Engine	FDR	Accepted
MK13	COMET	0	3432
MK13	COMET	0.001	3432
MK13	COMET	0.002	3432
MK13	COMET	0.003	3432
MK13	COMET	0.004	3432
MK13	COMET	0.005	3432
MK13	COMET	0.006	3432
MK13	COMET	0.007	3432
MK13	COMET	0.008	3433
MK13	COMET	0.009	3434
MK13	COMET	0.01	3434
MK13	COMET	0.011	3434
MK13	COMET	0.012	3434
MK13	COMET	0.013	3434
MK13	COMET	0.014	3434
MK13	COMET	0.015	3436
MK13	COMET	0.016	3436
MK13	COMET	0.017	3438
MK13	COMET	0.018	3439
MK13	COMET	0.019	3439
MK13	COMET	0.02	3442
MK13	COMET	0.021	3442
MK13	COMET	0.022	3443
MK13	COMET	0.023	3445
MK13	COMET	0.024	3445
MK13	COMET	0.025	3447
MK13	COMET	0.026	3448
MK13	COMET	0.027	3449
MK13	COMET	0.028	3450
MK13	COMET	0.029	3450
MK13	COMET	0.03	3452
MK13	COMET	0.031	3452
MK13	COMET	0.032	3454
MK13	COMET	0.033	3455
MK13	COMET	0.034	3458
MK13	COMET	0.035	3461
MK13	COMET	0.036	3464
MK13	COMET	0.037	3464
MK13	COMET	0.038	3466
MK13	COMET	0.039	3467
MK13	COMET	0.04	3469
MK13	COMET	0.041	3470
MK13	COMET	0.042	3471
MK13	COMET	0.043	3471
MK13	COMET	0.044	3475
MK13	COMET	0.045	3475
MK13	COMET	0.046	3478
MK13	COMET	0.047	3479
MK13	COMET	0.048	3486
MK13	COMET	0.049	3486
MK13	COMET	0.05	3488
MK13	COMET	0.051	3488
MK13	COMET	0.052	3488
MK13	COMET	0.053	3494
MK13	COMET	0.054	3494
MK13	COMET	0.055	3494
MK13	COMET	0.056	3497
MK13	COMET	0.057	3497
MK13	COMET	0.058	3497
MK13	COMET	0.059	3503
MK13	COMET	0.06	3505
MK13	COMET	0.061	3507
MK13	COMET	0.062	3507
MK13	COMET	0.063	3513
MK13	COMET	0.064	3515
MK13	COMET	0.065	3518
MK13	COMET	0.066	3518
MK13	COMET	0.067	3527
MK13	COMET	0.068	3527
MK13	COMET	0.069	3527
MK13	COMET	0.07	3527
MK13	COMET	0.071	3528
MK13	COMET	0.072	3541
MK13	COMET	0.073	3542
MK13	COMET	0.074	3543
MK13	COMET	0.075	3546
MK13	COMET	0.076	3546
MK13	COMET	0.077	3562
MK13	COMET	0.078	3562
MK13	COMET	0.079	3562
MK13	COMET	0.08	3563
MK13	COMET	0.081	3563
MK13	COMET	0.082	3563
MK13	COMET	0.083	3563
MK13	COMET	0.084	3580
MK13	COMET	0.085	3581
MK13	COMET	0.086	3581
MK13	COMET	0.087	3583
MK13	COMET	0.088	3583
MK13	COMET	0.089	3583
MK13	COMET	0.09	3583
MK13	COMET	0.091	3610
MK13	COMET	0.092	3610
MK13	COMET	0.093	3610
MK13	COMET	0.094	3610
MK13	COMET	0.095	3610
MK13	COMET	0.096	3614
MK13	COMET	0.097	3614
MK13	COMET	0.098	3614
MK13	COMET	0.099	3614
MK13	COMET	0.1	3656
MK13	COMET	0.101	3656
MK13	COMET	0.102	3656
MK13	COMET	0.103	3657
MK13	COMET	0.104	3658
MK13	COMET	0.105	3658
MK13	COMET	0.106	3659
MK13	COMET	0.107	3660
MK13	COMET	0.108	3662
MK13	COMET	0.109	3664
MK13	COMET	0.11	3665
MK13	COMET	0.111	3665
MK13	COMET	0.112	3719
MK13	COMET	0.113	3719
MK13	COMET	0.114	3720
MK13	COMET	0.115	3722
MK13	COMET	0.116	3726
MK13	COMET	0.117	3726
MK13	COMET	0.118	3729
MK13	COMET	0.119	3729
MK13	COMET	0.12	3729
MK13	COMET	0.121	3729
MK13	COMET	0.122	3731
MK13	COMET	0.123	3732
MK13	COMET	0.124	3733
MK13	COMET	0.125	3818
MK13	COMET	0.126	3818
