Sample	COMET	MSGF	XTANDEDM	MYRIMATCH
F038975	3710	3929	1437	3242
F039390	3432	3497	1922	3402
F039391	3486	3589	1671	3359
F039393	3452	3592	1680	3361
F039396	3626	3797	1450	3267
F039397	3418	3439	1727	3362
F039399	3622	3996	1358	3174
F039402	3550	4206	577	2329
F039405	3297	3431	1779	3380
F039406	3698	3933	1320	3165
F039408	3615	3760	1522	3248
F039414	3498	4033	380	2124
F039416	3701	4065	1158	3098
F039418	3739	3989	1248	3228
F039420	3564	4049	721	2679
F039423	3725	4143	809	2827
F039427	3717	4100	991	2987
F039429	3469	3638	1693	3267
F039432	3626	3836	1289	3197
F039434	3693	3828	1436	3230
F039436	3399	3344	1740	3327
F039440	3034	2979	1858	3442
F039442	3428	3538	1524	3225
F039444	3641	3974	1239	3216
F039446	3704	4238	1148	3125
F039460	3276	3403	1933	3372
F039478	3603	3667	1651	3122
F039497	3292	3421	1888	3360
F039498	3261	3275	1891	3368
F039504	3615	4051	808	2621
F039502	3252	3778	482	2314
F039500	3643	4142	995	2670
